,Start Time,End Time
0,0.0,4.4
1,4.47,5.0
2,5.1,11.37
3,11.67,12.23
4,12.27,12.77
5,12.83,13.33
6,13.37,13.77
7,13.8,14.27
8,14.53,14.87
9,15.13,15.57
10,15.6,16.13
11,16.23,16.53
12,16.7,17.27
13,17.3,17.77
14,17.83,18.27
15,18.33,18.57
16,19.07,19.5
17,19.6,20.13
18,20.37,20.7
19,20.87,21.3
20,21.37,21.8
21,21.87,22.27
22,22.3,26.7
23,27.6,27.8
24,28.2,28.27
25,29.5,34.57
26,34.87,35.17
27,36.03,36.07
28,36.53,36.93
29,38.23,38.67
30,38.7,39.1
31,39.17,39.6
32,39.7,40.13
33,40.23,40.53
34,41.0,41.37
35,41.53,42.0
36,42.17,42.57
37,43.4,43.83
38,43.87,44.33
39,44.57,45.1
40,45.17,45.2
41,46.3,46.83
42,46.9,182.93
43,183.03,183.87
44,183.9,184.4
45,184.77,186.4
46,186.43,187.9
47,199.47,208.4
48,211.3,223.97
49,225.8,225.97
50,226.27,226.57
51,226.93,226.97
52,234.3,259.37
53,271.6,281.83
54,285.63,289.93
55,300.27,300.7
56,300.83,301.63
57,301.7,302.27
58,302.3,302.83
59,303.37,303.87
60,303.9,304.63
61,304.77,305.2
62,306.7,307.5
63,307.53,327.27
64,327.6,328.1
65,328.17,328.6
66,328.7,329.3
67,329.33,340.73
68,340.77,341.4
69,341.43,342.23
70,342.47,353.2
71,353.23,505.47
